NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT01484873,"{""precision"": 0.2222222222222222, ""recall"": 0.3333333333333333, ""f1"": 0.26666666666666666}","{""precision"": 0.23529411764705882, ""recall"": 0.3333333333333333, ""f1"": 0.27586206896551724}","{""precision"": 0.3125, ""recall"": 0.4166666666666667, ""f1"": 0.35714285714285715}","{""precision"": 0.2, ""recall"": 0.4166666666666667, ""f1"": 0.2702702702702703}"
NCT01496469,"{""precision"": 0.375, ""recall"": 0.46153846153846156, ""f1"": 0.41379310344827586}","{""precision"": 0.4, ""recall"": 0.46153846153846156, ""f1"": 0.42857142857142855}","{""precision"": 0.375, ""recall"": 0.46153846153846156, ""f1"": 0.41379310344827586}","{""precision"": 0.375, ""recall"": 0.46153846153846156, ""f1"": 0.41379310344827586}"
NCT01574157,"{""precision"": 0.47058823529411764, ""recall"": 0.36363636363636365, ""f1"": 0.41025641025641024}","{""precision"": 0.4666666666666667, ""recall"": 0.3181818181818182, ""f1"": 0.3783783783783784}","{""precision"": 0.5333333333333333, ""recall"": 0.36363636363636365, ""f1"": 0.43243243243243246}","{""precision"": 0.47058823529411764, ""recall"": 0.36363636363636365, ""f1"": 0.41025641025641024}"
NCT01592695,"{""precision"": 0.42857142857142855, ""recall"": 0.35294117647058826, ""f1"": 0.3870967741935484}","{""precision"": 0.4117647058823529, ""recall"": 0.4117647058823529, ""f1"": 0.4117647058823529}","{""precision"": 0.42105263157894735, ""recall"": 0.47058823529411764, ""f1"": 0.4444444444444444}","{""precision"": 0.5, ""recall"": 0.47058823529411764, ""f1"": 0.48484848484848486}"
NCT01621178,"{""precision"": 0.5, ""recall"": 0.5, ""f1"": 0.5}","{""precision"": 0.5555555555555556, ""recall"": 0.7142857142857143, ""f1"": 0.6250000000000001}","{""precision"": 0.6428571428571429, ""recall"": 0.6428571428571429, ""f1"": 0.6428571428571429}","{""precision"": 0.5294117647058824, ""recall"": 0.6428571428571429, ""f1"": 0.5806451612903226}"
NCT01652729,"{""precision"": 0.2777777777777778, ""recall"": 0.38461538461538464, ""f1"": 0.3225806451612903}","{""precision"": 0.42105263157894735, ""recall"": 0.6153846153846154, ""f1"": 0.5}","{""precision"": 0.375, ""recall"": 0.46153846153846156, ""f1"": 0.41379310344827586}","{""precision"": 0.4666666666666667, ""recall"": 0.5384615384615384, ""f1"": 0.5}"
NCT01676220,"{""precision"": 0.4, ""recall"": 0.5454545454545454, ""f1"": 0.4615384615384615}","{""precision"": 0.42105263157894735, ""recall"": 0.7272727272727273, ""f1"": 0.5333333333333333}","{""precision"": 0.5, ""recall"": 0.5454545454545454, ""f1"": 0.5217391304347826}","{""precision"": 0.35714285714285715, ""recall"": 0.45454545454545453, ""f1"": 0.4}"
NCT01686828,"{""precision"": 0.21052631578947367, ""recall"": 0.21052631578947367, ""f1"": 0.21052631578947367}","{""precision"": 0.30434782608695654, ""recall"": 0.3684210526315789, ""f1"": 0.3333333333333333}","{""precision"": 0.23529411764705882, ""recall"": 0.21052631578947367, ""f1"": 0.2222222222222222}","{""precision"": 0.42857142857142855, ""recall"": 0.3157894736842105, ""f1"": 0.36363636363636365}"
NCT01757847,"{""precision"": 0.2857142857142857, ""recall"": 0.3333333333333333, ""f1"": 0.30769230769230765}","{""precision"": 0.3684210526315789, ""recall"": 0.5833333333333334, ""f1"": 0.4516129032258065}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.3684210526315789, ""recall"": 0.5833333333333334, ""f1"": 0.4516129032258065}"
NCT01760239,"{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.3333333333333333, ""recall"": 0.4, ""f1"": 0.3636363636363636}","{""precision"": 0.3125, ""recall"": 0.5, ""f1"": 0.38461538461538464}"
NCT01767155,"{""precision"": 0.11538461538461539, ""recall"": 0.3, ""f1"": 0.16666666666666669}","{""precision"": 0.17647058823529413, ""recall"": 0.3, ""f1"": 0.22222222222222224}","{""precision"": 0.14285714285714285, ""recall"": 0.2, ""f1"": 0.16666666666666666}","{""precision"": 0.10526315789473684, ""recall"": 0.2, ""f1"": 0.13793103448275862}"
NCT01768637,"{""precision"": 0.3888888888888889, ""recall"": 0.25, ""f1"": 0.30434782608695654}","{""precision"": 0.3684210526315789, ""recall"": 0.25, ""f1"": 0.2978723404255319}","{""precision"": 0.375, ""recall"": 0.21428571428571427, ""f1"": 0.2727272727272727}","{""precision"": 0.3125, ""recall"": 0.17857142857142858, ""f1"": 0.22727272727272727}"
NCT01785849,"{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}","{""precision"": 0.47368421052631576, ""recall"": 0.6, ""f1"": 0.5294117647058824}","{""precision"": 0.4, ""recall"": 0.4, ""f1"": 0.4000000000000001}","{""precision"": 0.5714285714285714, ""recall"": 0.5333333333333333, ""f1"": 0.5517241379310344}"
NCT01821352,"{""precision"": 0.2, ""recall"": 0.6, ""f1"": 0.3}","{""precision"": 0.2857142857142857, ""recall"": 0.8, ""f1"": 0.4210526315789473}","{""precision"": 0.21428571428571427, ""recall"": 0.6, ""f1"": 0.3157894736842105}","{""precision"": 0.2857142857142857, ""recall"": 0.8, ""f1"": 0.4210526315789473}"
NCT01862796,"{""precision"": 0.25, ""recall"": 0.38461538461538464, ""f1"": 0.30303030303030304}","{""precision"": 0.3181818181818182, ""recall"": 0.5384615384615384, ""f1"": 0.39999999999999997}","{""precision"": 0.2631578947368421, ""recall"": 0.38461538461538464, ""f1"": 0.3125}","{""precision"": 0.2916666666666667, ""recall"": 0.5384615384615384, ""f1"": 0.3783783783783784}"
NCT01973972,"{""precision"": 0.1875, ""recall"": 0.3, ""f1"": 0.23076923076923075}","{""precision"": 0.26666666666666666, ""recall"": 0.4, ""f1"": 0.32}","{""precision"": 0.26666666666666666, ""recall"": 0.4, ""f1"": 0.32}","{""precision"": 0.23529411764705882, ""recall"": 0.4, ""f1"": 0.29629629629629634}"
NCT01986881,"{""precision"": 0.3888888888888889, ""recall"": 0.35, ""f1"": 0.36842105263157887}","{""precision"": 0.4, ""recall"": 0.3, ""f1"": 0.34285714285714286}","{""precision"": 0.4375, ""recall"": 0.35, ""f1"": 0.38888888888888884}","{""precision"": 0.5238095238095238, ""recall"": 0.55, ""f1"": 0.5365853658536585}"
NCT02003963,"{""precision"": 0.125, ""recall"": 0.07407407407407407, ""f1"": 0.09302325581395349}","{""precision"": 0.35294117647058826, ""recall"": 0.2222222222222222, ""f1"": 0.27272727272727276}","{""precision"": 0.2, ""recall"": 0.1111111111111111, ""f1"": 0.14285714285714285}","{""precision"": 0.35714285714285715, ""recall"": 0.18518518518518517, ""f1"": 0.24390243902439024}"
NCT02008682,"{""precision"": 0.3333333333333333, ""recall"": 0.5555555555555556, ""f1"": 0.4166666666666667}","{""precision"": 0.3157894736842105, ""recall"": 0.6666666666666666, ""f1"": 0.42857142857142855}","{""precision"": 0.4166666666666667, ""recall"": 0.5555555555555556, ""f1"": 0.4761904761904762}","{""precision"": 0.29411764705882354, ""recall"": 0.5555555555555556, ""f1"": 0.3846153846153846}"
NCT02038179,"{""precision"": 0.2222222222222222, ""recall"": 0.8, ""f1"": 0.3478260869565218}","{""precision"": 0.3076923076923077, ""recall"": 0.8, ""f1"": 0.4444444444444444}","{""precision"": 0.2, ""recall"": 0.6, ""f1"": 0.3}","{""precision"": 0.21428571428571427, ""recall"": 0.6, ""f1"": 0.3157894736842105}"
NCT02109029,"{""precision"": 0.46153846153846156, ""recall"": 0.8571428571428571, ""f1"": 0.6}","{""precision"": 0.42857142857142855, ""recall"": 0.8571428571428571, ""f1"": 0.5714285714285714}","{""precision"": 0.5, ""recall"": 0.8571428571428571, ""f1"": 0.631578947368421}","{""precision"": 0.5, ""recall"": 1.0, ""f1"": 0.6666666666666666}"
NCT02111980,"{""precision"": 0.1111111111111111, ""recall"": 0.25, ""f1"": 0.15384615384615383}","{""precision"": 0.13793103448275862, ""recall"": 0.5, ""f1"": 0.2162162162162162}","{""precision"": 0.21428571428571427, ""recall"": 0.375, ""f1"": 0.2727272727272727}","{""precision"": 0.25, ""recall"": 0.375, ""f1"": 0.3}"
NCT02137512,"{""precision"": 0.16, ""recall"": 0.5, ""f1"": 0.24242424242424243}","{""precision"": 0.16, ""recall"": 0.5, ""f1"": 0.24242424242424243}","{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}","{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}"
NCT02214186,"{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.5, ""recall"": 0.5625, ""f1"": 0.5294117647058824}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.38461538461538464, ""recall"": 0.3125, ""f1"": 0.3448275862068966}"
NCT02278471,"{""precision"": 0.4117647058823529, ""recall"": 0.5384615384615384, ""f1"": 0.4666666666666667}","{""precision"": 0.36363636363636365, ""recall"": 0.6153846153846154, ""f1"": 0.4571428571428572}","{""precision"": 0.3888888888888889, ""recall"": 0.5384615384615384, ""f1"": 0.45161290322580644}","{""precision"": 0.5, ""recall"": 0.6153846153846154, ""f1"": 0.5517241379310345}"
NCT02342639,"{""precision"": 0.26666666666666666, ""recall"": 0.26666666666666666, ""f1"": 0.26666666666666666}","{""precision"": 0.25, ""recall"": 0.26666666666666666, ""f1"": 0.2580645161290323}","{""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.3333333333333333}","{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}"
NCT02358668,"{""precision"": 0.38095238095238093, ""recall"": 0.27586206896551724, ""f1"": 0.32}","{""precision"": 0.6, ""recall"": 0.3103448275862069, ""f1"": 0.4090909090909091}","{""precision"": 0.6470588235294118, ""recall"": 0.3793103448275862, ""f1"": 0.4782608695652174}","{""precision"": 0.625, ""recall"": 0.3448275862068966, ""f1"": 0.4444444444444445}"
NCT02409329,"{""precision"": 0.38095238095238093, ""recall"": 0.27586206896551724, ""f1"": 0.32}","{""precision"": 0.42105263157894735, ""recall"": 0.27586206896551724, ""f1"": 0.3333333333333333}","{""precision"": 0.42105263157894735, ""recall"": 0.27586206896551724, ""f1"": 0.3333333333333333}","{""precision"": 0.3684210526315789, ""recall"": 0.2413793103448276, ""f1"": 0.2916666666666667}"
NCT02437084,"{""precision"": 0.21428571428571427, ""recall"": 0.3, ""f1"": 0.25}","{""precision"": 0.15, ""recall"": 0.3, ""f1"": 0.2}","{""precision"": 0.23076923076923078, ""recall"": 0.3, ""f1"": 0.2608695652173913}","{""precision"": 0.2777777777777778, ""recall"": 0.5, ""f1"": 0.35714285714285715}"
NCT02473926,"{""precision"": 0.3157894736842105, ""recall"": 0.375, ""f1"": 0.34285714285714286}","{""precision"": 0.3157894736842105, ""recall"": 0.375, ""f1"": 0.34285714285714286}","{""precision"": 0.3333333333333333, ""recall"": 0.375, ""f1"": 0.35294117647058826}","{""precision"": 0.4117647058823529, ""recall"": 0.4375, ""f1"": 0.42424242424242425}"
NCT02531035,"{""precision"": 0.5, ""recall"": 0.3333333333333333, ""f1"": 0.4}","{""precision"": 0.5294117647058824, ""recall"": 0.6, ""f1"": 0.5625}","{""precision"": 0.46153846153846156, ""recall"": 0.4, ""f1"": 0.42857142857142855}","{""precision"": 0.5333333333333333, ""recall"": 0.5333333333333333, ""f1"": 0.5333333333333333}"
NCT02572882,"{""precision"": 0.23076923076923078, ""recall"": 0.42857142857142855, ""f1"": 0.3}","{""precision"": 0.25, ""recall"": 0.7142857142857143, ""f1"": 0.37037037037037035}","{""precision"": 0.2777777777777778, ""recall"": 0.7142857142857143, ""f1"": 0.4}","{""precision"": 0.3125, ""recall"": 0.7142857142857143, ""f1"": 0.43478260869565216}"
NCT02592421,"{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.35294117647058826, ""recall"": 0.75, ""f1"": 0.48}"
NCT02602496,"{""precision"": 0.2, ""recall"": 0.25, ""f1"": 0.22222222222222224}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.23809523809523808, ""recall"": 0.625, ""f1"": 0.3448275862068965}","{""precision"": 0.3, ""recall"": 0.75, ""f1"": 0.4285714285714285}"
NCT02620774,"{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.2, ""recall"": 0.375, ""f1"": 0.26086956521739135}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.35714285714285715, ""recall"": 0.625, ""f1"": 0.45454545454545453}"
NCT02623348,"{""precision"": 0.21428571428571427, ""recall"": 0.15789473684210525, ""f1"": 0.18181818181818182}","{""precision"": 0.3684210526315789, ""recall"": 0.3684210526315789, ""f1"": 0.3684210526315789}","{""precision"": 0.42857142857142855, ""recall"": 0.3157894736842105, ""f1"": 0.36363636363636365}","{""precision"": 0.47368421052631576, ""recall"": 0.47368421052631576, ""f1"": 0.47368421052631576}"
NCT02643966,"{""precision"": 0.26666666666666666, ""recall"": 0.36363636363636365, ""f1"": 0.30769230769230765}","{""precision"": 0.4666666666666667, ""recall"": 0.6363636363636364, ""f1"": 0.5384615384615385}","{""precision"": 0.6363636363636364, ""recall"": 0.6363636363636364, ""f1"": 0.6363636363636364}","{""precision"": 0.6363636363636364, ""recall"": 0.6363636363636364, ""f1"": 0.6363636363636364}"
NCT02646982,"{""precision"": 0.32, ""recall"": 0.23529411764705882, ""f1"": 0.2711864406779661}","{""precision"": 0.6, ""recall"": 0.35294117647058826, ""f1"": 0.4444444444444445}","{""precision"": 0.5, ""recall"": 0.35294117647058826, ""f1"": 0.41379310344827586}","{""precision"": 0.45, ""recall"": 0.2647058823529412, ""f1"": 0.33333333333333337}"
NCT02680574,"{""precision"": 0.25, ""recall"": 0.4, ""f1"": 0.3076923076923077}","{""precision"": 0.25, ""recall"": 0.4, ""f1"": 0.3076923076923077}","{""precision"": 0.1875, ""recall"": 0.3, ""f1"": 0.23076923076923075}","{""precision"": 0.2222222222222222, ""recall"": 0.4, ""f1"": 0.2857142857142857}"
NCT02692040,"{""precision"": 0.21428571428571427, ""recall"": 0.42857142857142855, ""f1"": 0.2857142857142857}","{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}","{""precision"": 0.1875, ""recall"": 0.42857142857142855, ""f1"": 0.26086956521739124}","{""precision"": 0.2727272727272727, ""recall"": 0.8571428571428571, ""f1"": 0.41379310344827586}"
NCT02692560,"{""precision"": 0.3, ""recall"": 0.375, ""f1"": 0.33333333333333326}","{""precision"": 0.3157894736842105, ""recall"": 0.75, ""f1"": 0.44444444444444436}","{""precision"": 0.16666666666666666, ""recall"": 0.375, ""f1"": 0.23076923076923078}","{""precision"": 0.35, ""recall"": 0.875, ""f1"": 0.4999999999999999}"
NCT02698891,"{""precision"": 0.045454545454545456, ""recall"": 0.1, ""f1"": 0.06250000000000001}","{""precision"": 0.15789473684210525, ""recall"": 0.3, ""f1"": 0.20689655172413793}","{""precision"": 0.16666666666666666, ""recall"": 0.3, ""f1"": 0.21428571428571427}","{""precision"": 0.2222222222222222, ""recall"": 0.4, ""f1"": 0.2857142857142857}"
NCT02738086,"{""precision"": 0.19047619047619047, ""recall"": 0.4444444444444444, ""f1"": 0.26666666666666666}","{""precision"": 0.23529411764705882, ""recall"": 0.4444444444444444, ""f1"": 0.30769230769230765}","{""precision"": 0.2, ""recall"": 0.3333333333333333, ""f1"": 0.25}","{""precision"": 0.2631578947368421, ""recall"": 0.5555555555555556, ""f1"": 0.35714285714285715}"
